"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3630","home page opens the live automationexercise site and navigates to products @ui","","2026-05-18","passed","2026-05-18","","ui/home.spec.ts","",""
"","386","assertion helpers resolve against the live DOM in hard mode @ui","","2026-05-18","passed","2026-05-18","","unit/assertions.spec.ts","",""
"","5248","user created via API can log in and is visible in the UI @e2e @ui","","2026-05-18","passed","2026-05-18","","ui/account-hybrid.spec.ts","",""
"","547","hard assertion failure throws immediately @ui","","2026-05-18","passed","2026-05-18","","unit/assertions.spec.ts","",""
"","734","softGroup keeps executing after a failing assertion @ui","","2026-05-18","passed","2026-05-18","","unit/assertions.spec.ts","",""
"","7518","new user can create an account and sign in with it @ui","","2026-05-18","passed","2026-05-18","","ui/account.spec.ts","",""
"","240","worker-scoped fixture server serves mounted HTML @ui","","2026-05-18","passed","2026-05-18","","unit/fixture.spec.ts","",""
"","2070","product details page exposes structured product information @ui","","2026-05-18","passed","2026-05-18","","ui/products.spec.ts","",""
"","1973","subscription footer confirms a successful subscription on the live site @ui","","2026-05-18","passed","2026-05-18","","ui/products.spec.ts","",""
"","3239","products search narrows the catalog on automationexercise @ui","","2026-05-18","passed","2026-05-18","","ui/products.spec.ts","",""
"","383","softGroup body receives soft mode and restores hard mode afterwards @ui","","2026-05-18","passed","2026-05-18","","unit/assertions.spec.ts","",""
"","323","logger fixture resets history between tests @ui","","2026-05-18","passed","2026-05-18","","unit/fixture.spec.ts","",""
"","2453","brand filter uses the sidebar component and shows Polo products @ui","","2026-05-18","passed","2026-05-18","","ui/products.spec.ts","",""
"","1607","searching for a non-existent product shows zero results on the Products page @ui","","2026-05-18","passed","2026-05-18","","ui/products.spec.ts","",""
