"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","softGroup pushes soft mode inside its body and restores after @unit","","2026-04-14","passed","2026-04-14","","unit/softGroup.spec.ts","",""
"","3","typed config uses automationexercise as the default base url @unit","","2026-04-14","passed","2026-04-14","","unit/env.spec.ts","",""
"","73","fixture server serves registered routes on an ephemeral port @unit","","2026-04-14","passed","2026-04-14","","unit/fixtureServer.spec.ts","",""
"","5","wrapLocator logs click actions with bound metadata @unit","","2026-04-14","passed","2026-04-14","","unit/xLocator.spec.ts","",""
"","10","page-must-implement-is-opened flags classes that extend xPage without isOpened @unit","","2026-04-14","passed","2026-04-14","","unit/eslintRules.spec.ts","",""
"","73","no-raw-locator-in-tests flags page.locator/getByRole on Page identifiers @unit","","2026-04-14","passed","2026-04-14","","unit/eslintRules.spec.ts","",""
"","13","no-page-locator-in-components flags locator and goto @unit","","2026-04-14","passed","2026-04-14","","unit/eslintRules.spec.ts","",""
"","4","currentMode defaults to hard outside softGroup @unit","","2026-04-14","passed","2026-04-14","","unit/softGroup.spec.ts","",""
"","3","playwright config wires both allure-playwright and the HTML reporter @unit","","2026-04-14","passed","2026-04-14","","unit/reportingConfig.spec.ts","",""
"","10","xPage navigates with base url and exposes wrapped page locators @unit","","2026-04-14","passed","2026-04-14","","unit/xPage.spec.ts","",""
"","7","nested mode pushes expose the innermost value @unit","","2026-04-14","passed","2026-04-14","","unit/softGroup.spec.ts","",""
"","4","playwright config keeps trace, screenshot, and video configured for failure triage @unit","","2026-04-14","passed","2026-04-14","","unit/reportingConfig.spec.ts","",""
"","23","no-goto-outside-page-objects flags page.goto and this.page.goto @unit","","2026-04-14","passed","2026-04-14","","unit/eslintRules.spec.ts","",""
"","12","env parser accepts the documented baseline @unit","","2026-04-14","passed","2026-04-14","","unit/env.spec.ts","",""
"","5","xComponent binds field names after construction and names nested roots @unit","","2026-04-14","passed","2026-04-14","","unit/xComponent.spec.ts","",""
"","10","wrapLocator re-wraps chained locators and keeps lineage metadata @unit","","2026-04-14","passed","2026-04-14","","unit/xLocator.spec.ts","",""
"","6","softGroup restores mode if the body throws @unit","","2026-04-14","passed","2026-04-14","","unit/softGroup.spec.ts","",""
"","13","fixture server supports swapping routes at runtime @unit","","2026-04-14","passed","2026-04-14","","unit/fixtureServer.spec.ts","",""
"","7","typed config converts flags and preserves credentials @unit","","2026-04-14","passed","2026-04-14","","unit/env.spec.ts","",""
